facebook_IC_degrees,198,335,792,660,1052,968,976,1319
facebook_IC_random,30,3,40,58,137,308,163,844
facebook_LT_degrees,23,36,83,100,116,116,157,211
facebook_LT_random,1,2,5,10,20,30,50,100
bitcoin_IC_degrees,1778,1746,1765,1766,1740,1788,1773,1746
bitcoin_IC_random,1756,1734,1793,1819,1763,1862,1825,1960
bitcoin_LT_degrees,368,457,635,858,1163,1411,1973,3131
bitcoin_LT_random,1,2,6,26,25,39,95,142
